component,bankruptcy_diff,bankruptcy_se,bankruptcy_p,rounds_diff,rounds_se,rounds_p,bet_diff,bet_se,bet_p,n_with,n_without
G (Goal),0.0,0.747543271507901,nan,0.032500000000000195,0.05808713008103134,0.575856768219736,0.05249999999999844,1.410122560611077,0.9703032994496084,1600,1600
M (Maximize),0.125,0.74754000355203,nan,0.13375000000000004,0.05804180508417742,0.02126546771886363,2.9925000000000033,1.4091296223572738,0.033775874167704244,1600,1600
P (Probability),0.75,0.747425616094837,nan,0.20000000000000018,0.057982214067915996,0.000569239883720466,4.90625,1.4074514256681219,0.000497063355061656,1600,1600
H (Hidden),0.375,0.7475138593907396,nan,0.14000000000000012,0.05803719613389699,0.01591053117687556,1.2099999999999973,1.4099605244209024,0.3908573601146399,1600,1600
W (Winnings),1.5,0.7470725386793309,nan,0.05874999999999986,0.05808068248365676,0.3118422593353172,2.349999999999998,1.4095104246770562,0.09556350016636461,1600,1600
