streak,occurrences,continuation_rate,continuation_ci,bet_increase_rate,bet_increase_ci,avg_pct_change,pct_change_ci
2-win,217,0.5529953917050692,0.06615199723066052,0.0967741935483871,0.03933726429041871,36.118791602662576,25.923145201011362
2-loss,989,0.5429726996966633,0.031046882226747712,0.11931243680485339,0.020202807006070567,27.825665655544324,8.12144165928237
3-win,47,0.5106382978723404,0.1429153322579764,0.10638297872340426,0.08814931297694446,45.60283687943263,56.21067728954233
3-loss,364,0.5576923076923077,0.05102287812289266,0.1043956043956044,0.03141265135980868,21.362179487179485,11.81265277822365
4-win,8,0.75,0.3000624934909393,0.125,0.2291765149399039,27.5,108.03837281262618
4-loss,146,0.5273972602739726,0.08098352856039219,0.13013698630136986,0.05457647081817398,28.527397260273972,19.906360227897746
