complexity,n,bankruptcy_rate,bankruptcy_se,avg_rounds,rounds_se,avg_bet,bet_se
0,100,3.0,1.7144660799776528,0.92,0.12607517398341947,17.75,3.2281706675121526
1,500,3.4000000000000004,0.8112930375552172,0.962,0.06531189238242256,19.398,1.6100508437434136
2,1000,4.7,0.6695956678163012,1.126,0.04930065470715937,23.045,1.1750045151447763
3,1000,5.2,0.702462421381709,1.276,0.05636489156381835,25.84,1.3865666110818358
4,500,5.0,0.9756555783754993,1.308,0.07503020100015892,25.33,1.8157301429187673
5,100,6.0,2.3868325657594203,1.39,0.18796894220142654,31.2,4.382080129644626
