feature_id,mean_activation
537,8.675850868225098
8312,7.55474148856269
27354,6.586352772182888
7392,6.223810036977132
5463,6.155849516391754
27198,5.92426782184177
30730,5.814499060312907
13359,5.798922485775417
31264,5.7978967560662165
9926,5.7913468678792315
2687,5.625371985965305
2216,5.489028453826904
24538,5.433328681521946
23478,5.407493962181939
18963,5.367745935916901
10703,5.360728899637858
6397,5.3392720222473145
13366,5.333160059792655
22679,5.259551286697388
510,5.203852812449138
21068,5.170149326324463
6369,5.144532322883606
29405,5.140795111656189
14666,5.137828946113586
15708,5.118188858032227
3711,5.109461784362793
14904,5.1019768714904785
17131,5.065715789794922
17698,5.0650161902109785
32291,5.0634385744730634
1614,5.058088779449463
896,5.058013916015625
17066,5.049049377441406
3661,5.034793059031169
10512,5.0233283042907715
