feature_id,layer,baseline_bankruptcy_rate,safe_bankruptcy_rate,risky_bankruptcy_rate,baseline_balance,safe_balance,risky_balance,delta_bankruptcy_safe,delta_bankruptcy_risky,delta_balance_safe,delta_balance_risky,baseline_n,safe_n,risky_n
7254,30,0.36666666666666664,0.8666666666666667,0.6333333333333333,94.33333333333333,17.666666666666668,48.666666666666664,0.5,0.26666666666666666,-76.66666666666666,-45.666666666666664,30,30,30
8916,28,0.26666666666666666,0.7333333333333333,0.7,82.5,24.5,28.5,0.4666666666666666,0.4333333333333333,-58.0,-54.0,30,30,30
5488,29,0.3333333333333333,0.7666666666666667,0.6666666666666666,79.0,33.833333333333336,66.33333333333333,0.4333333333333334,0.3333333333333333,-45.166666666666664,-12.666666666666671,30,30,30
31905,25,0.4,0.8333333333333334,0.6333333333333333,79.16666666666667,25.166666666666668,39.666666666666664,0.43333333333333335,0.23333333333333328,-54.0,-39.50000000000001,30,30,30
6387,30,0.36666666666666664,0.7666666666666667,0.5666666666666667,82.66666666666667,35.666666666666664,63.833333333333336,0.4000000000000001,0.2,-47.00000000000001,-18.833333333333336,30,30,30
2634,30,0.43333333333333335,0.8333333333333334,0.7333333333333333,81.83333333333333,12.833333333333334,32.666666666666664,0.4,0.29999999999999993,-69.0,-49.166666666666664,30,30,30
8801,29,0.4666666666666667,0.8333333333333334,0.6,79.0,20.666666666666668,71.0,0.3666666666666667,0.1333333333333333,-58.33333333333333,-8.0,30,30,30
23397,25,0.4666666666666667,0.8333333333333334,0.5333333333333333,54.666666666666664,13.666666666666666,66.16666666666667,0.3666666666666667,0.06666666666666665,-41.0,11.500000000000007,30,30,30
24053,29,0.4,0.7666666666666667,0.6,72.66666666666667,28.333333333333332,69.33333333333333,0.3666666666666667,0.19999999999999996,-44.33333333333334,-3.333333333333343,30,30,30
3661,28,0.43333333333333335,0.8,0.6333333333333333,89.66666666666667,14.666666666666666,35.666666666666664,0.3666666666666667,0.19999999999999996,-75.0,-54.00000000000001,30,30,30
21091,29,0.36666666666666664,0.7333333333333333,0.7,98.33333333333333,38.333333333333336,38.5,0.36666666666666664,0.3333333333333333,-59.99999999999999,-59.83333333333333,30,30,30
23454,26,0.3,0.6666666666666666,0.6,79.16666666666667,36.666666666666664,45.166666666666664,0.36666666666666664,0.3,-42.50000000000001,-34.00000000000001,30,30,30
2934,29,0.4666666666666667,0.8,0.6666666666666666,61.166666666666664,28.5,32.333333333333336,0.33333333333333337,0.19999999999999996,-32.666666666666664,-28.83333333333333,30,30,30
13805,29,0.4666666666666667,0.8,0.6666666666666666,63.333333333333336,40.833333333333336,44.833333333333336,0.33333333333333337,0.19999999999999996,-22.5,-18.5,30,30,30
498,28,0.43333333333333335,0.7666666666666667,0.5333333333333333,61.0,25.666666666666668,66.83333333333333,0.33333333333333337,0.09999999999999998,-35.33333333333333,5.833333333333329,30,30,30
12795,30,0.43333333333333335,0.7666666666666667,0.7,62.166666666666664,39.5,40.833333333333336,0.33333333333333337,0.2666666666666666,-22.666666666666664,-21.33333333333333,30,30,30
4335,30,0.5,0.8333333333333334,0.7333333333333333,52.666666666666664,20.166666666666668,20.333333333333332,0.33333333333333337,0.23333333333333328,-32.5,-32.33333333333333,30,30,30
10238,29,0.43333333333333335,0.7666666666666667,0.6333333333333333,62.5,26.833333333333332,47.333333333333336,0.33333333333333337,0.19999999999999996,-35.66666666666667,-15.166666666666664,30,30,30
28009,28,0.5333333333333333,0.8666666666666667,0.6,58.0,32.333333333333336,37.0,0.33333333333333337,0.06666666666666665,-25.666666666666664,-21.0,30,30,30
5614,26,0.4,0.7333333333333333,0.6,81.16666666666667,50.0,52.666666666666664,0.33333333333333326,0.19999999999999996,-31.16666666666667,-28.500000000000007,30,30,30
