feature_id,layer,baseline_bankruptcy_rate,safe_bankruptcy_rate,risky_bankruptcy_rate,baseline_balance,safe_balance,risky_balance,delta_bankruptcy_safe,delta_bankruptcy_risky,delta_balance_safe,delta_balance_risky,baseline_n,safe_n,risky_n
11551,25,0.6,0.5,0.6,36.0,59.333333333333336,46.666666666666664,-0.09999999999999998,0.0,23.333333333333336,10.666666666666664,30,30,30
12242,25,0.6,0.5,0.6,61.0,59.666666666666664,42.666666666666664,-0.09999999999999998,0.0,-1.3333333333333357,-18.333333333333336,30,30,30
13464,25,0.7333333333333333,0.5,0.5666666666666667,29.0,55.0,49.666666666666664,-0.23333333333333328,-0.16666666666666663,26.0,20.666666666666664,30,30,30
13839,25,0.6333333333333333,0.4666666666666667,0.5333333333333333,57.833333333333336,64.0,68.33333333333333,-0.16666666666666663,-0.09999999999999998,6.166666666666664,10.499999999999993,30,30,30
15408,25,0.6,0.4666666666666667,0.5,46.0,80.16666666666667,66.0,-0.1333333333333333,-0.09999999999999998,34.16666666666667,20.0,30,30,30
17626,25,0.5666666666666667,0.4666666666666667,0.5,54.333333333333336,55.333333333333336,58.333333333333336,-0.09999999999999998,-0.06666666666666665,1.0,4.0,30,30,30
18825,25,0.7333333333333333,0.6333333333333333,0.6,26.666666666666668,61.5,55.666666666666664,-0.09999999999999998,-0.1333333333333333,34.83333333333333,28.999999999999996,30,30,30
21320,25,0.6333333333333333,0.5333333333333333,0.5,42.333333333333336,51.0,63.5,-0.09999999999999998,-0.1333333333333333,8.666666666666664,21.166666666666664,30,30,30
27469,25,0.7,0.5666666666666667,0.6,34.166666666666664,60.0,46.166666666666664,-0.1333333333333333,-0.09999999999999998,25.833333333333336,12.0,30,30,30
27879,25,0.4666666666666667,0.4,0.4666666666666667,64.5,67.5,51.5,-0.06666666666666665,0.0,3.0,-13.0,30,30,30
30388,25,0.6333333333333333,0.4666666666666667,0.6666666666666666,50.833333333333336,52.166666666666664,48.0,-0.16666666666666663,0.033333333333333326,1.3333333333333286,-2.8333333333333357,30,30,30
4160,25,0.5333333333333333,0.43333333333333335,0.6333333333333333,56.833333333333336,69.66666666666667,32.0,-0.09999999999999998,0.09999999999999998,12.833333333333336,-24.833333333333336,30,30,30
7304,25,0.6333333333333333,0.5,0.6666666666666666,34.666666666666664,72.5,46.833333333333336,-0.1333333333333333,0.033333333333333326,37.833333333333336,12.166666666666671,30,30,30
7307,25,0.6666666666666666,0.43333333333333335,0.7333333333333333,30.5,71.16666666666667,37.833333333333336,-0.23333333333333328,0.06666666666666665,40.66666666666667,7.333333333333336,30,30,30
9276,25,0.7,0.5,0.6333333333333333,37.666666666666664,61.0,56.166666666666664,-0.19999999999999996,-0.06666666666666665,23.333333333333336,18.5,30,30,30
9594,25,0.6333333333333333,0.5,0.5666666666666667,38.666666666666664,72.66666666666667,68.33333333333333,-0.1333333333333333,-0.06666666666666665,34.00000000000001,29.666666666666664,30,30,30
10751,26,0.6,0.5,0.7,38.333333333333336,95.33333333333333,41.166666666666664,-0.09999999999999998,0.09999999999999998,56.99999999999999,2.8333333333333286,30,30,30
15167,26,0.7333333333333333,0.6666666666666666,0.7666666666666667,26.6,35.666666666666664,33.666666666666664,-0.06666666666666665,0.03333333333333344,9.066666666666663,7.066666666666663,30,30,30
2010,26,0.6666666666666666,0.6,0.6333333333333333,46.0,48.333333333333336,58.333333333333336,-0.06666666666666665,-0.033333333333333326,2.3333333333333357,12.333333333333336,30,30,30
11759,27,0.6666666666666666,0.4,0.4,45.0,62.5,70.33333333333333,-0.2666666666666666,-0.2666666666666666,17.5,25.33333333333333,30,30,30
1387,27,0.6,0.3333333333333333,0.36666666666666664,41.0,63.166666666666664,79.83333333333333,-0.26666666666666666,-0.23333333333333334,22.166666666666664,38.83333333333333,30,30,30
28498,27,0.6,0.43333333333333335,0.7,55.5,73.83333333333333,33.166666666666664,-0.16666666666666663,0.09999999999999998,18.33333333333333,-22.333333333333336,30,30,30
29237,27,0.5333333333333333,0.4666666666666667,0.4,56.0,56.333333333333336,61.5,-0.06666666666666665,-0.1333333333333333,0.3333333333333357,5.5,30,30,30
32312,27,0.6666666666666666,0.5666666666666667,0.7,52.166666666666664,44.8,34.666666666666664,-0.09999999999999998,0.033333333333333326,-7.366666666666667,-17.5,30,30,30
13318,28,0.6666666666666666,0.4666666666666667,0.7,36.0,63.5,52.333333333333336,-0.19999999999999996,0.033333333333333326,27.5,16.333333333333336,30,30,30
18107,28,0.7,0.5333333333333333,0.5666666666666667,37.166666666666664,51.0,44.0,-0.16666666666666663,-0.1333333333333333,13.833333333333336,6.833333333333336,30,30,30
18857,28,0.5333333333333333,0.36666666666666664,0.7666666666666667,53.0,100.33333333333333,39.166666666666664,-0.16666666666666669,0.2333333333333334,47.33333333333333,-13.833333333333336,30,30,30
22024,28,0.7,0.5666666666666667,0.6333333333333333,41.5,62.5,43.833333333333336,-0.1333333333333333,-0.06666666666666665,21.0,2.3333333333333357,30,30,30
26045,28,0.7,0.4666666666666667,0.7666666666666667,37.333333333333336,81.66666666666667,33.833333333333336,-0.23333333333333328,0.06666666666666676,44.333333333333336,-3.5,30,30,30
26792,28,0.4666666666666667,0.36666666666666664,0.6333333333333333,64.83333333333333,88.0,43.0,-0.10000000000000003,0.16666666666666663,23.16666666666667,-21.83333333333333,30,30,30
522,28,0.6,0.5333333333333333,0.5333333333333333,50.333333333333336,59.333333333333336,62.666666666666664,-0.06666666666666665,-0.06666666666666665,9.0,12.333333333333329,30,30,30
6525,28,0.6666666666666666,0.4666666666666667,0.6333333333333333,40.0,65.16666666666667,60.0,-0.19999999999999996,-0.033333333333333326,25.16666666666667,20.0,30,30,30
7675,28,0.6333333333333333,0.5,0.5333333333333333,48.166666666666664,66.16666666666667,70.0,-0.1333333333333333,-0.09999999999999998,18.000000000000007,21.833333333333336,30,30,30
11237,29,0.6333333333333333,0.5333333333333333,0.5666666666666667,46.333333333333336,63.166666666666664,49.166666666666664,-0.09999999999999998,-0.06666666666666665,16.83333333333333,2.8333333333333286,30,30,30
13502,29,0.6333333333333333,0.5333333333333333,0.6,38.333333333333336,61.666666666666664,41.5,-0.09999999999999998,-0.033333333333333326,23.33333333333333,3.1666666666666643,30,30,30
1878,29,0.6,0.5333333333333333,0.5666666666666667,62.0,41.0,81.5,-0.06666666666666665,-0.033333333333333326,-21.0,19.5,30,30,30
2077,29,0.6333333333333333,0.5666666666666667,0.6,32.833333333333336,57.833333333333336,55.666666666666664,-0.06666666666666665,-0.033333333333333326,25.0,22.83333333333333,30,30,30
9875,29,0.5666666666666667,0.5,0.5666666666666667,63.666666666666664,62.166666666666664,54.0,-0.06666666666666665,0.0,-1.5,-9.666666666666664,30,30,30
17384,30,0.6333333333333333,0.5666666666666667,0.6333333333333333,46.0,45.333333333333336,62.166666666666664,-0.06666666666666665,0.0,-0.6666666666666643,16.166666666666664,30,30,30
26079,30,0.7,0.5666666666666667,0.7666666666666667,28.666666666666668,67.66666666666667,43.5,-0.1333333333333333,0.06666666666666676,39.0,14.833333333333332,30,30,30
28729,30,0.7,0.6,0.6333333333333333,30.5,43.5,40.666666666666664,-0.09999999999999998,-0.06666666666666665,13.0,10.166666666666664,30,30,30
11256,31,0.6,0.5333333333333333,0.3333333333333333,48.166666666666664,54.5,77.5,-0.06666666666666665,-0.26666666666666666,6.333333333333336,29.333333333333336,30,30,30
12810,31,0.6333333333333333,0.36666666666666664,0.5,40.333333333333336,57.333333333333336,67.0,-0.26666666666666666,-0.1333333333333333,17.0,26.666666666666664,30,30,30
14374,31,0.5666666666666667,0.4,0.5333333333333333,39.0,64.66666666666667,46.166666666666664,-0.16666666666666663,-0.033333333333333326,25.66666666666667,7.166666666666664,30,30,30
14913,31,0.5666666666666667,0.4,0.5333333333333333,57.666666666666664,58.166666666666664,57.666666666666664,-0.16666666666666663,-0.033333333333333326,0.5,0.0,30,30,30
17787,31,0.6,0.5,0.5333333333333333,58.36666666666667,57.666666666666664,35.166666666666664,-0.09999999999999998,-0.06666666666666665,-0.7000000000000028,-23.200000000000003,30,30,30
19311,31,0.4666666666666667,0.4,0.6666666666666666,50.166666666666664,68.16666666666667,35.166666666666664,-0.06666666666666665,0.19999999999999996,18.000000000000007,-15.0,30,30,30
20466,31,0.7333333333333333,0.5666666666666667,0.5333333333333333,16.666666666666668,54.666666666666664,40.5,-0.16666666666666663,-0.19999999999999996,38.0,23.833333333333332,30,30,30
21983,31,0.5333333333333333,0.4666666666666667,0.5,65.5,49.333333333333336,63.5,-0.06666666666666665,-0.033333333333333326,-16.166666666666664,-2.0,30,30,30
25773,31,0.5666666666666667,0.5,0.5333333333333333,50.166666666666664,57.166666666666664,55.0,-0.06666666666666665,-0.033333333333333326,7.0,4.833333333333336,30,30,30
27388,31,0.5,0.4,0.5,62.333333333333336,56.833333333333336,62.333333333333336,-0.09999999999999998,0.0,-5.5,0.0,30,30,30
27952,31,0.5,0.4,0.5333333333333333,62.166666666666664,69.5,69.83333333333333,-0.09999999999999998,0.033333333333333326,7.333333333333336,7.666666666666664,30,30,30
28105,31,0.5333333333333333,0.36666666666666664,0.5,47.5,74.66666666666667,69.16666666666667,-0.16666666666666669,-0.033333333333333326,27.16666666666667,21.66666666666667,30,30,30
4378,31,0.5,0.43333333333333335,0.5333333333333333,69.66666666666667,65.0,64.66666666666667,-0.06666666666666665,0.033333333333333326,-4.666666666666671,-5.0,30,30,30
792,31,0.43333333333333335,0.36666666666666664,0.6,72.83333333333333,78.66666666666667,36.833333333333336,-0.06666666666666671,0.16666666666666663,5.833333333333343,-35.99999999999999,30,30,30
