layer,delta_bankruptcy_safe,delta_bankruptcy_safe,delta_bankruptcy_safe,delta_bankruptcy_risky,delta_bankruptcy_risky,delta_bankruptcy_risky,delta_balance_safe,delta_balance_safe,delta_balance_risky,delta_balance_risky
,mean,std,count,mean,std,count,mean,std,mean,std
25,0.04396135265700483,0.1398520172171715,69,0.06425120772946859,0.1286326837907311,69,-1.7130434782608694,21.108203356381527,-4.720289855072465,20.852407908944787
26,0.13908045977011493,0.10580388106732053,58,0.12528735632183907,0.1287683967178213,58,-9.71264367816092,20.52510166470415,-10.112068965517242,20.343221350207596
27,-0.03888888888888888,0.14058559586355124,12,-0.022222222222222227,0.1444832892601109,12,-3.297222222222222,16.903926137297773,-2.8916666666666675,21.234011810671987
28,0.07894736842105261,0.14741577888065718,57,0.0935672514619883,0.12254552061445485,57,-6.776608187134503,26.719446254206687,-9.150292397660818,20.887336790664044
29,0.13366666666666666,0.11687043292480533,100,0.12599999999999997,0.10820232949314958,100,-13.52,19.114206937412813,-11.620999999999999,18.26091952587315
30,0.1253012048192771,0.11957358309258137,83,0.11365461847389559,0.12878798616923126,83,-8.592771084337349,18.65704677219754,-7.1546184738955825,20.64140311237377
31,0.029032258064516127,0.10669464642726138,62,0.022043010752688167,0.11826670923464107,62,-4.59516129032258,16.308234140863668,-3.7247311827956993,18.54474128543385
