feature_id,layer,baseline_bankruptcy_rate,safe_bankruptcy_rate,risky_bankruptcy_rate,baseline_balance,safe_balance,risky_balance,delta_bankruptcy_safe,delta_bankruptcy_risky,delta_balance_safe,delta_balance_risky,baseline_n,safe_n,risky_n
32318,25,0.4,0.6333333333333333,0.8333333333333334,59.166666666666664,63.166666666666664,32.5,0.23333333333333328,0.43333333333333335,4.0,-26.666666666666664,30,30,30
8916,28,0.26666666666666666,0.7333333333333333,0.7,82.5,24.5,28.5,0.4666666666666666,0.4333333333333333,-58.0,-54.0,30,30,30
26324,26,0.5,0.6333333333333333,0.8666666666666667,67.6,52.333333333333336,12.333333333333334,0.1333333333333333,0.3666666666666667,-15.266666666666659,-55.26666666666666,30,30,30
18542,30,0.3333333333333333,0.5666666666666667,0.7,64.73333333333333,65.0,26.166666666666668,0.23333333333333334,0.36666666666666664,0.2666666666666657,-38.56666666666666,30,30,30
10876,30,0.36666666666666664,0.5333333333333333,0.7333333333333333,71.5,57.0,36.333333333333336,0.16666666666666669,0.36666666666666664,-14.5,-35.166666666666664,30,30,30
7183,30,0.4666666666666667,0.6666666666666666,0.8,70.83333333333333,75.0,24.333333333333332,0.19999999999999996,0.33333333333333337,4.166666666666671,-46.5,30,30,30
31199,26,0.43333333333333335,0.6,0.7666666666666667,60.166666666666664,72.0,31.333333333333332,0.16666666666666663,0.33333333333333337,11.833333333333336,-28.833333333333332,30,30,30
13353,26,0.43333333333333335,0.7333333333333333,0.7666666666666667,95.0,23.333333333333332,39.333333333333336,0.29999999999999993,0.33333333333333337,-71.66666666666667,-55.666666666666664,30,30,30
5266,28,0.4666666666666667,0.6333333333333333,0.8,60.333333333333336,39.666666666666664,35.166666666666664,0.16666666666666663,0.33333333333333337,-20.66666666666667,-25.16666666666667,30,30,30
13909,29,0.4666666666666667,0.6333333333333333,0.8,63.0,43.5,22.333333333333332,0.16666666666666663,0.33333333333333337,-19.5,-40.66666666666667,30,30,30
21091,29,0.36666666666666664,0.7333333333333333,0.7,98.33333333333333,38.333333333333336,38.5,0.36666666666666664,0.3333333333333333,-59.99999999999999,-59.83333333333333,30,30,30
23375,26,0.36666666666666664,0.6333333333333333,0.7,52.833333333333336,54.666666666666664,39.0,0.26666666666666666,0.3333333333333333,1.8333333333333286,-13.833333333333336,30,30,30
5488,29,0.3333333333333333,0.7666666666666667,0.6666666666666666,79.0,33.833333333333336,66.33333333333333,0.4333333333333334,0.3333333333333333,-45.166666666666664,-12.666666666666671,30,30,30
14045,29,0.4,0.7333333333333333,0.7333333333333333,61.5,46.666666666666664,41.0,0.33333333333333326,0.33333333333333326,-14.833333333333336,-20.5,30,30,30
9703,29,0.4,0.6,0.7333333333333333,64.16666666666667,48.833333333333336,48.166666666666664,0.19999999999999996,0.33333333333333326,-15.333333333333336,-16.000000000000007,30,30,30
9208,29,0.4666666666666667,0.6333333333333333,0.7666666666666667,61.5,56.833333333333336,36.833333333333336,0.16666666666666663,0.30000000000000004,-4.666666666666664,-24.666666666666664,30,30,30
3069,30,0.5666666666666667,0.6333333333333333,0.8666666666666667,54.833333333333336,62.666666666666664,18.5,0.06666666666666665,0.30000000000000004,7.833333333333329,-36.333333333333336,30,30,30
18100,30,0.4666666666666667,0.6666666666666666,0.7666666666666667,77.5,55.0,43.333333333333336,0.19999999999999996,0.30000000000000004,-22.5,-34.166666666666664,30,30,30
5112,25,0.4666666666666667,0.5333333333333333,0.7666666666666667,71.83333333333333,58.0,17.166666666666668,0.06666666666666665,0.30000000000000004,-13.833333333333329,-54.66666666666666,30,30,30
15613,30,0.5333333333333333,0.6,0.8333333333333334,67.66666666666667,67.0,33.0,0.06666666666666665,0.30000000000000004,-0.6666666666666714,-34.66666666666667,30,30,30
