feature_id,mean_activation
3179,15.337064838409423
19509,13.85238265991211
21325,10.757847785949707
7343,9.829363822937012
30265,9.175045013427734
12342,9.135686874389648
9478,8.461537981033326
27753,8.186598777770996
24124,8.098931312561035
8638,8.009234428405762
29396,7.663756370544434
5200,7.34761905670166
28,7.118018627166748
25498,6.6304575602213545
2159,6.576723098754883
23979,6.492280006408691
29630,6.392790794372559
31552,6.333451588948567
9854,6.166492462158203
15329,5.76883602142334
11627,5.704603910446167
29526,5.68486754099528
23097,5.673145294189453
2886,5.566617965698242
17760,5.382808208465576
407,5.294510364532471
26843,5.091473579406738
8930,5.088199615478516
5046,5.0736284255981445
