layer,feature_id,original_direction,stop_rate_safe_safe,stop_rate_safe_risky,delta_stop_safe,p_safe,risk_increasing_by_binary,stop_rate_risky_safe,stop_rate_risky_risky,delta_stop_risky,p_risky,risk_decreasing_by_binary
25,991,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,19923,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,14554,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,13839,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,18601,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,8721,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,16481,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,3319,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,23496,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,5945,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,25233,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,15924,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,7732,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,19501,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,30947,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,28967,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,10427,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,11235,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,24482,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,4104,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,4257,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,8337,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,21416,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,29680,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,20276,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,8882,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,9670,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,1981,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,13322,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,23490,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,18759,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,28260,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,27228,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,8709,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,6543,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,25706,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,3631,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,7976,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,21320,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,13464,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,17446,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,22321,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,17795,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,19678,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,31736,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,11588,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,9774,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,14511,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,5491,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,19721,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,254,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,28235,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,9594,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,11447,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,23336,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,4095,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,17909,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,31345,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,18209,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,21313,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,2361,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,10394,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,23540,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,19925,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,30375,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,29495,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,22858,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,31622,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,19512,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,27469,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,6301,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,18334,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,8948,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,14370,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,30625,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,26238,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,6288,decreases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
25,17674,increases_risk,0.000,0.000,0.000,0.5000,False,0.000,0.000,0.000,0.5000,False
