gpu,feature_key,layer,feature_id,original_cohen_d,safe_stop_effect,risky_stop_effect,risky_bankruptcy_effect,risky_bet_effect
gpu4,L28-31643,28,31643,0.0,0.03333333333333333,-0.033333333333333326,0.06666666666666668,0.7083333333333321
gpu4,L28-26357,28,26357,0.0,-0.03333333333333333,0.09999999999999998,0.1,2.058823529411768
gpu4,L28-25198,28,25198,0.0,0.0,0.16666666666666669,-0.1333333333333333,2.0
gpu4,L28-27722,28,27722,0.0,-0.13333333333333333,0.033333333333333326,0.033333333333333326,12.333333333333336
gpu4,L28-26060,28,26060,0.0,-0.06666666666666667,0.09999999999999998,-0.033333333333333326,-1.2777777777777786
gpu4,L28-28899,28,28899,0.0,-0.03333333333333333,-0.1333333333333333,-0.06666666666666668,-13.958333333333336
gpu4,L28-12435,28,12435,0.0,-0.03333333333333333,-0.1333333333333333,-0.1,-11.145833333333332
gpu4,L28-16096,28,16096,0.0,-0.03333333333333333,0.0,0.033333333333333326,-0.882352941176471
gpu4,L28-3549,28,3549,0.0,-0.03333333333333333,-0.3,0.0,-9.81818181818182
gpu4,L30-16827,30,16827,1.6691269986274417,0.13333333333333333,-0.3333333333333333,-0.13333333333333333,-29.134199134199132
gpu4,L30-7183,30,7183,0.0,0.2,-0.23333333333333334,-0.1,-20.71428571428571
gpu4,L30-23962,30,23962,0.0,0.06666666666666665,-0.26666666666666666,0.13333333333333333,-5.583333333333332
gpu4,L30-29934,30,29934,0.0,0.16666666666666666,-0.06666666666666665,0.03333333333333334,-2.633928571428573
gpu4,L30-16845,30,16845,0.0,0.03333333333333333,0.0,0.0,-1.25
gpu4,L30-11932,30,11932,0.0,0.06666666666666667,0.06666666666666665,0.16666666666666669,20.8974358974359
gpu4,L30-18141,30,18141,0.0,0.26666666666666666,-0.09999999999999998,0.0,-5.861344537815128
gpu4,L30-27141,30,27141,1.2561584516945863,0.2,0.06666666666666665,-0.13333333333333333,-17.797619047619047
gpu4,L30-6374,30,6374,0.0,0.2,-0.1333333333333333,0.06666666666666668,1.7063492063492056
gpu4,L30-18786,30,18786,1.2496176728704729,0.13333333333333333,-0.06666666666666665,-0.033333333333333326,-13.88392857142857
gpu4,L30-11368,30,11368,0.0,-0.03333333333333333,-0.033333333333333326,0.0,-1.4423076923076934
gpu4,L30-9716,30,9716,0.0,0.13333333333333336,0.033333333333333326,0.033333333333333354,0.2472527472527446
gpu4,L30-20587,30,20587,1.2118762314002478,0.03333333333333333,-0.2666666666666666,0.033333333333333354,-10.45751633986928
gpu4,L30-2095,30,2095,0.0,0.23333333333333334,-0.3,0.06666666666666668,-10.473684210526315
gpu4,L30-1731,30,1731,0.0,0.16666666666666666,0.06666666666666665,0.0,4.444444444444443
gpu4,L30-2634,30,2634,0.0,0.16666666666666669,0.09999999999999998,-0.16666666666666666,-20.90909090909091
gpu4,L30-25241,30,25241,0.0,0.03333333333333333,-0.09999999999999998,0.2333333333333333,18.944444444444443
gpu4,L30-9151,30,9151,0.0,0.03333333333333333,-0.1333333333333333,0.0,-10.952380952380953
gpu4,L30-22540,30,22540,0.0,0.16666666666666666,-0.3,0.19999999999999998,-3.39473684210526
gpu4,L30-7255,30,7255,0.0,0.1,0.0,-0.2333333333333333,-24.0625
gpu4,L30-2812,30,2812,-1.1449702803419934,0.1,0.0,0.033333333333333326,2.142857142857139
gpu4,L30-2948,30,2948,1.1247965986234334,0.06666666666666668,-0.1333333333333333,0.06666666666666668,5.357142857142858
gpu4,L30-13566,30,13566,0.0,0.13333333333333333,0.033333333333333326,-0.13333333333333333,-20.549450549450547
