feature,safe_stop_delta,safe_bankruptcy_delta,safe_risky_stop_delta,safe_avg_bet_delta,risky_stop_delta,risky_bankruptcy_delta,risky_risky_stop_delta,risky_avg_bet_delta,classified_as
L25-10096,0.0,-0.13333333333333336,0.0,3.5,0.03333333333333333,-0.10000000000000003,0.03333333333333333,3.833333333333332,neutral
L25-10192,,-0.06666666666666671,-0.13333333333333333,-0.8333333333333357,,-0.033333333333333326,-0.06666666666666665,-9.166666666666668,neutral
L25-10206,0.0,0.0,-0.06666666666666668,3.333333333333332,0.0,0.1333333333333333,-0.16666666666666669,17.499999999999996,neutral
L25-1026,0.033333333333333326,-0.03333333333333338,-0.03333333333333333,4.166666666666668,-0.06666666666666667,0.0,0.13333333333333336,10.5,safe
L25-10394,0.0,0.09999999999999998,-0.15,15.583333333333336,0.06666666666666668,-0.01666666666666672,-0.06666666666666665,3.25,neutral
L25-10427,0.0011494252873563218,-0.1333333333333333,0.06666666666666667,9.833333333333329,-0.03333333333333333,-0.16666666666666663,0.03333333333333333,0.8333333333333286,safe
L25-10678,-0.06666666666666667,-0.033333333333333326,-0.1,10.666666666666668,0.0,-0.06666666666666671,-0.1,7.833333333333336,neutral
L25-10753,0.0,0.033333333333333326,0.0,5.9999999999999964,0.0,0.13333333333333336,0.0,1.3333333333333321,neutral
L25-10761,-0.11666666666666667,0.033333333333333326,-0.16666666666666669,8.666666666666668,-0.11666666666666667,-0.033333333333333326,-0.16666666666666669,0.5,neutral
L25-10991,-0.033333333333333354,0.06666666666666665,-0.06666666666666665,-12.999999999999996,-0.1,-0.033333333333333326,-0.06666666666666665,-16.166666666666664,neutral
L25-11167,-0.33333333333333337,0.0,0.06666666666666667,8.5,-0.2,-0.13333333333333336,-0.06666666666666667,7.166666666666668,neutral
L25-11235,-0.04999999999999999,-0.016666666666666663,-0.08333333333333333,11.749999999999996,0.08333333333333334,-0.06666666666666671,-0.016666666666666663,7.083333333333332,neutral
L25-11236,-0.033333333333333354,-0.033333333333333326,0.0,-2.8333333333333357,-0.1,-0.16666666666666669,-0.033333333333333326,-10.333333333333336,neutral
L25-1130,0.033333333333333326,-0.033333333333333326,-0.13333333333333333,-5.5,0.033333333333333326,-0.09999999999999998,-0.13333333333333333,-11.5,safe
L25-11451,-0.024999999999999994,-0.13333333333333336,0.08333333333333333,-9.333333333333332,0.008333333333333331,-0.06666666666666665,0.0,-1.4166666666666643,neutral
L25-11551,0.13333333333333333,-0.13333333333333336,-0.23333333333333334,-6.833333333333336,-0.033333333333333326,-0.13333333333333336,-0.16666666666666669,-3.3333333333333357,safe
L25-11559,-0.06666666666666667,0.033333333333333326,-0.1,0.33333333333333215,0.0,0.13333333333333336,-0.13333333333333336,12.166666666666668,neutral
L25-11588,0.1,-0.16666666666666669,0.033333333333333326,-3.6666666666666643,-0.033333333333333326,-0.09999999999999998,-0.06666666666666668,-6.666666666666664,safe
L25-11723,-0.03333333333333333,-0.033333333333333326,0.0,1.1666666666666679,0.0,-0.06666666666666665,0.0,3.3333333333333357,neutral
L25-1173,-0.033333333333333326,0.016666666666666663,-0.03333333333333334,1.8333333333333321,-0.016666666666666663,0.03333333333333338,-0.06666666666666667,4.0,risky
L25-11756,0.0,0.0,-0.1,7.333333333333332,0.06666666666666668,0.1333333333333333,-0.03333333333333334,12.666666666666664,neutral
L25-11913,-0.016666666666666663,-0.033333333333333326,-0.08333333333333333,12.083333333333332,0.05000000000000002,0.016666666666666663,-0.016666666666666663,8.833333333333332,neutral
L25-12093,0.0,-0.06666666666666665,-0.033333333333333326,5.666666666666668,-0.13333333333333333,-0.10000000000000003,-0.06666666666666667,2.166666666666668,neutral
L25-12115,0.13333333333333333,-0.3666666666666667,0.13333333333333333,-2.8333333333333286,0.0,-0.2333333333333334,0.06666666666666667,1.8333333333333357,safe
L25-12172,0.03333333333333333,-0.13333333333333336,-0.03333333333333333,-4.333333333333336,0.0,0.0,0.0,0.33333333333333215,safe
L25-12242,0.03333333333333333,-0.03333333333333338,0.0,0.16666666666666785,0.0,0.2666666666666666,0.03333333333333333,12.666666666666664,safe
L25-1227,0.0,-0.1333333333333333,-0.033333333333333326,-4.333333333333336,0.06666666666666668,-0.3,0.0,-13.833333333333336,neutral
L25-12880,-0.09999999999999999,0.16666666666666669,0.0,18.166666666666668,0.13333333333333333,-0.06666666666666665,-0.13333333333333333,2.0,neutral
L25-13223,0.06666666666666668,0.033333333333333326,0.03333333333333333,-2.333333333333332,-0.033333333333333326,-0.16666666666666669,0.06666666666666667,-9.666666666666664,neutral
L25-13322,0.06896551724137931,-0.11839080459770113,0.0,-1.2183908045977034,0.0,0.0482758620689655,0.0,9.114942528735629,safe
L25-13363,0.0,-0.06666666666666665,0.0,-0.8333333333333357,0.03333333333333333,0.033333333333333326,0.0,4.666666666666664,neutral
L25-13464,0.03333333333333333,-0.16666666666666669,0.0,-8.333333333333332,0.0,-0.13333333333333336,0.03333333333333333,-8.333333333333332,safe
L25-13467,-0.033333333333333326,-0.23333333333333334,0.0,-16.333333333333332,-0.16666666666666666,-0.23333333333333334,-0.13333333333333333,-0.6666666666666643,neutral
L25-13693,0.04999999999999999,-0.03333333333333338,-0.08333333333333333,-5.166666666666664,0.016666666666666663,-0.01666666666666672,-0.08333333333333333,4.333333333333332,safe
L25-13839,0.06666666666666668,0.10000000000000003,-0.13333333333333333,10.166666666666668,-0.033333333333333326,0.16666666666666669,-0.06666666666666667,19.0,risky
L25-14005,-0.033333333333333326,-0.033333333333333326,0.0,4.833333333333336,-0.033333333333333326,-0.06666666666666671,0.1,-4.166666666666668,neutral
L25-14227,-0.16666666666666666,-0.13333333333333336,0.0,-0.8333333333333357,-0.1,-0.033333333333333326,-0.1,5.666666666666664,neutral
L25-14489,0.06666666666666665,0.26666666666666666,-0.26666666666666666,7.0,0.06666666666666665,0.2,-0.16666666666666666,9.833333333333332,neutral
L25-14497,-0.13333333333333333,-0.3,-0.06666666666666667,-20.999999999999996,-0.06666666666666668,-0.16666666666666663,-0.1,-8.166666666666664,neutral
L25-14511,0.13333333333333336,-0.2,0.03333333333333333,-8.166666666666664,0.03333333333333334,-0.03333333333333338,0.03333333333333333,0.5,safe
L25-14826,0.0,0.09999999999999998,0.03333333333333333,11.666666666666668,0.1,-0.16666666666666669,0.13333333333333333,-7.166666666666668,neutral
