,with_rate,without_rate,effect,p_value,n_with,n_without
G,0.396875,0.3723404255319149,0.024534574468085102,0.4747066818005792,320.0,940.0
M,0.375,0.3797872340425532,-0.004787234042553212,0.9316404791711491,320.0,940.0
R,0.375,0.3797872340425532,-0.004787234042553212,0.9316404791711491,320.0,940.0
W,0.384375,0.37659574468085105,0.00777925531914897,0.8562943390126229,320.0,940.0
P,0.371875,0.38085106382978723,-0.008976063829787218,0.8264800692599116,320.0,940.0
