feature_id,source_activation,target_activation,attention_weight,pathway_score,activation_change,scenario,balance
32764,2.0874979496002197,0.0,0.0,0.0,-2.0874979496002197,Bankruptcy_90_all_in,90
3,0.5311002135276794,0.0,0.0,0.0,-0.5311002135276794,Bankruptcy_90_all_in,90
4,1.5248275995254517,0.0,0.0,0.0,-1.5248275995254517,Bankruptcy_90_all_in,90
32722,0.6046127080917358,0.0,0.0,0.0,-0.6046127080917358,Bankruptcy_90_all_in,90
32721,0.9332038164138794,0.0,0.0,0.0,-0.9332038164138794,Bankruptcy_90_all_in,90
32720,0.16772118210792542,0.0,0.0,0.0,-0.16772118210792542,Bankruptcy_90_all_in,90
32715,0.013293266296386719,0.0,0.0,0.0,-0.013293266296386719,Bankruptcy_90_all_in,90
32710,0.05938613414764404,0.0,0.0,0.0,-0.05938613414764404,Bankruptcy_90_all_in,90
32705,2.676283121109009,0.0,0.0,0.0,-2.676283121109009,Bankruptcy_90_all_in,90
32704,2.2203197479248047,0.0,0.0,0.0,-2.2203197479248047,Bankruptcy_90_all_in,90
32736,0.0,0.5297370553016663,0.0,0.0,0.5297370553016663,Desperate_10,10
3,0.7883379459381104,0.0,0.0,0.0,-0.7883379459381104,Desperate_10,10
73,0.02923797070980072,0.0,0.0,0.0,-0.02923797070980072,Desperate_10,10
160,0.1487278938293457,0.0,0.0,0.0,-0.1487278938293457,Desperate_10,10
218,0.7376889586448669,0.0,0.0,0.0,-0.7376889586448669,Desperate_10,10
277,0.26146650314331055,0.0,0.0,0.0,-0.26146650314331055,Desperate_10,10
314,0.19665604829788208,0.0,0.0,0.0,-0.19665604829788208,Desperate_10,10
350,0.2729339003562927,0.0,0.0,0.0,-0.2729339003562927,Desperate_10,10
371,0.04939007759094238,0.0,0.0,0.0,-0.04939007759094238,Desperate_10,10
435,0.0,0.46758192777633667,0.0,0.0,0.46758192777633667,Desperate_10,10
32736,0.0,0.45918768644332886,0.0,0.0,0.45918768644332886,Safe_130_one_win,130
3,0.22916287183761597,0.0,0.0,0.0,-0.22916287183761597,Safe_130_one_win,130
14,0.20363259315490723,0.0,0.0,0.0,-0.20363259315490723,Safe_130_one_win,130
57,1.5874230861663818,0.0,0.0,0.0,-1.5874230861663818,Safe_130_one_win,130
85,0.06551739573478699,0.0,0.0,0.0,-0.06551739573478699,Safe_130_one_win,130
97,0.10716897249221802,0.0,0.0,0.0,-0.10716897249221802,Safe_130_one_win,130
132,0.5334406495094299,0.0,0.0,0.0,-0.5334406495094299,Safe_130_one_win,130
146,1.2103664875030518,0.0,0.0,0.0,-1.2103664875030518,Safe_130_one_win,130
158,0.03140901029109955,0.0,0.0,0.0,-0.03140901029109955,Safe_130_one_win,130
160,0.9549355506896973,0.0,0.0,0.0,-0.9549355506896973,Safe_130_one_win,130
32764,0.6461714506149292,0.0,0.0,0.0,-0.6461714506149292,Risky_40,40
1,0.059903472661972046,0.0,0.0,0.0,-0.059903472661972046,Risky_40,40
4,0.6429190039634705,0.0,0.0,0.0,-0.6429190039634705,Risky_40,40
5,0.4717966914176941,0.0,0.0,0.0,-0.4717966914176941,Risky_40,40
32681,0.5345434546470642,0.0,0.0,0.0,-0.5345434546470642,Risky_40,40
32679,0.11057320237159729,0.0,0.0,0.0,-0.11057320237159729,Risky_40,40
32670,0.5487871766090393,0.0,0.0,0.0,-0.5487871766090393,Risky_40,40
32661,1.3151767253875732,0.0,0.0,0.0,-1.3151767253875732,Risky_40,40
32648,2.122249126434326,0.0,0.0,0.0,-2.122249126434326,Risky_40,40
32644,0.04042261838912964,0.0,0.0,0.0,-0.04042261838912964,Risky_40,40
32756,0.26913678646087646,0.0,0.0,0.0,-0.26913678646087646,Safe_140_near_goal,140
3,0.4962797164916992,0.0,0.0,0.0,-0.4962797164916992,Safe_140_near_goal,140
4,0.7727385759353638,0.0,0.0,0.0,-0.7727385759353638,Safe_140_near_goal,140
14,0.5753599405288696,0.0,0.0,0.0,-0.5753599405288696,Safe_140_near_goal,140
25,0.07172858715057373,0.0,0.0,0.0,-0.07172858715057373,Safe_140_near_goal,140
28,1.1354591846466064,0.0,0.0,0.0,-1.1354591846466064,Safe_140_near_goal,140
37,0.1702800691127777,0.0,0.0,0.0,-0.1702800691127777,Safe_140_near_goal,140
46,0.3305935263633728,0.0,0.0,0.0,-0.3305935263633728,Safe_140_near_goal,140
57,2.3168528079986572,0.0,0.0,0.0,-2.3168528079986572,Safe_140_near_goal,140
78,0.20567691326141357,0.0,0.0,0.0,-0.20567691326141357,Safe_140_near_goal,140
9926,4.68339204788208,7.690537452697754,0.0036354288458824158,0.04498454024332332,3.007145404815674,Initial_100_first_round,100
