feature_id,source_activation,target_activation,attention_weight,pathway_score,activation_change,scenario,balance
2083,18.115558624267578,9.237370491027832,0.0005243867635726929,0.014343513973003041,-8.878188133239746,Bankruptcy_90_all_in,90
4532,8.188458442687988,0.0,0.0005243867635726929,0.004293919221410647,-8.188458442687988,Bankruptcy_90_all_in,90
16593,4.772710800170898,3.3147683143615723,0.0005243867635726929,0.00424096699833143,-1.4579424858093262,Bankruptcy_90_all_in,90
9180,1.548645257949829,5.844545841217041,0.0005243867635726929,0.003876891552966555,4.295900583267212,Bankruptcy_90_all_in,90
26365,0.0,6.24362850189209,0.0005243867635726929,0.003274076143057414,6.24362850189209,Bankruptcy_90_all_in,90
8106,5.26481294631958,0.0,0.0005243867635726929,0.002760798221736138,-5.26481294631958,Bankruptcy_90_all_in,90
7899,4.964256286621094,0.0,0.0005243867635726929,0.0026031902876866297,-4.964256286621094,Bankruptcy_90_all_in,90
10204,0.0,4.646561622619629,0.0005243867635726929,0.0024365954110265875,4.646561622619629,Bankruptcy_90_all_in,90
14301,0.0,4.36238431930542,0.0005243867635726929,0.002287576594660834,4.36238431930542,Bankruptcy_90_all_in,90
12663,1.8453280925750732,2.5019233226776123,0.0005243867635726929,0.0022796411000811645,0.6565952301025391,Bankruptcy_90_all_in,90
2083,15.504956245422363,9.201945304870605,0.00042062997817993164,0.01039246345999345,-6.303010940551758,Desperate_10,10
16593,6.959341049194336,3.1864819526672363,0.00042062997817993164,0.004267637307890482,-3.7728590965270996,Desperate_10,10
4532,7.220717430114746,0.0,0.00042062997817993164,0.0030372502150726177,-7.220717430114746,Desperate_10,10
26365,0.0,6.263751029968262,0.00042062997817993164,0.0026347214590600743,6.263751029968262,Desperate_10,10
17211,6.24098539352417,0.0,0.00042062997817993164,0.0026251455498993437,-6.24098539352417,Desperate_10,10
9180,0.0,5.868307113647461,0.00042062997817993164,0.002468385893166669,5.868307113647461,Desperate_10,10
10204,0.0,4.565707206726074,0.00042062997817993164,0.0019204733227411452,4.565707206726074,Desperate_10,10
14301,0.0,4.471066474914551,0.00042062997817993164,0.0018806645937843314,4.471066474914551,Desperate_10,10
8106,4.348219394683838,0.0,0.00042062997817993164,0.0018289914291074183,-4.348219394683838,Desperate_10,10
29866,4.093855857849121,0.0,0.00042062997817993164,0.0017219985001588611,-4.093855857849121,Desperate_10,10
2083,18.49461555480957,9.851016998291016,0.0010180696845054626,0.028857829190442885,-8.643598556518555,Safe_130_one_win,130
16593,6.4636077880859375,3.952791213989258,0.0010180696845054626,0.01060462004572571,-2.5108165740966797,Safe_130_one_win,130
26365,0.0,6.079702377319336,0.0010180696845054626,0.0061895606811646076,6.079702377319336,Safe_130_one_win,130
9180,0.0,5.926965713500977,0.0010180696845054626,0.0060340641140186335,5.926965713500977,Safe_130_one_win,130
17211,5.9193878173828125,0.0,0.0010180696845054626,0.006026349287708399,-5.9193878173828125,Safe_130_one_win,130
10204,0.0,5.005306720733643,0.0010180696845054626,0.005095751034030371,5.005306720733643,Safe_130_one_win,130
4688,4.98726749420166,0.0,0.0010180696845054626,0.005077385844366233,-4.98726749420166,Safe_130_one_win,130
11651,4.984436988830566,0.0,0.0010180696845054626,0.005074504192656093,-4.984436988830566,Safe_130_one_win,130
14301,0.0,4.434165000915527,0.0010180696845054626,0.004514288963527235,4.434165000915527,Safe_130_one_win,130
4532,4.141263484954834,0.0,0.0010180696845054626,0.004216094809581961,-4.141263484954834,Safe_130_one_win,130
2083,16.74161148071289,9.571159362792969,0.00038496218621730804,0.010129421789351056,-7.170452117919922,Risky_40,40
16593,5.684708118438721,3.5485873222351074,0.00038496218621730804,0.0035544695988320996,-2.1361207962036133,Risky_40,40
26433,7.537065029144287,0.0,0.00038496218621730804,0.0029014850312814033,-7.537065029144287,Risky_40,40
4532,6.988731861114502,0.0,0.00038496218621730804,0.0026903974961411947,-6.988731861114502,Risky_40,40
17211,6.441011428833008,0.0,0.00038496218621730804,0.0024795458410942217,-6.441011428833008,Risky_40,40
21125,6.152171611785889,0.0,0.00038496218621730804,0.0023683534336571554,-6.152171611785889,Risky_40,40
26365,0.0,6.113425254821777,0.00038496218621730804,0.002353437551372295,6.113425254821777,Risky_40,40
9180,0.0,5.912771224975586,0.00038496218621730804,0.002276193337369392,5.912771224975586,Risky_40,40
10204,0.0,4.914720058441162,0.00038496218621730804,0.0018919813783435657,4.914720058441162,Risky_40,40
12663,2.388397693634033,2.464026927947998,0.00038496218621730804,0.0018679999907789124,0.07562923431396484,Risky_40,40
2083,18.82196617126465,9.566272735595703,0.0005187820643186569,0.014727309182472226,-9.255693435668945,Safe_140_near_goal,140
16593,5.36492919921875,3.7869300842285156,0.0005187820643186569,0.004747820451420637,-1.5779991149902344,Safe_140_near_goal,140
4532,8.222453117370605,0.0,0.0005187820643186569,0.0042656612019928986,-8.222453117370605,Safe_140_near_goal,140
9180,1.621492862701416,5.872435569763184,0.0005187820643186569,0.0038877156620502618,4.250942707061768,Safe_140_near_goal,140
26365,0.0,6.105720520019531,0.0005187820643186569,0.003167538295528516,6.105720520019531,Safe_140_near_goal,140
8106,5.323399543762207,0.0,0.0005187820643186569,0.002761684204505954,-5.323399543762207,Safe_140_near_goal,140
7899,4.9820556640625,0.0,0.0005187820643186569,0.002584601121952801,-4.9820556640625,Safe_140_near_goal,140
10204,0.0,4.943248748779297,0.0005187820643186569,0.0025644687903323415,4.943248748779297,Safe_140_near_goal,140
14301,0.0,4.464339733123779,0.0005187820643186569,0.002316019382569756,4.464339733123779,Safe_140_near_goal,140
