feature_id,source_activation,target_activation,attention_weight,pathway_score,activation_change,scenario,balance
3179,13.883407592773438,11.325761795043945,0.001024322584271431,0.02582232153466535,-2.557645797729492,Bankruptcy_90_all_in,90
7026,3.703397750854492,2.686694622039795,0.001024322584271431,0.006545515933136237,-1.0167031288146973,Bankruptcy_90_all_in,90
12342,5.737270832061768,0.0,0.001024322584271431,0.005876816085362613,-5.737270832061768,Bankruptcy_90_all_in,90
9478,2.5238089561462402,3.007007598876953,0.001024322584271431,0.0056653403067725705,0.4831986427307129,Bankruptcy_90_all_in,90
24124,0.0,5.189470291137695,0.001024322584271431,0.005315691619617979,5.189470291137695,Bankruptcy_90_all_in,90
18596,0.0,5.006793975830078,0.001024322584271431,0.005128572144236898,5.006793975830078,Bankruptcy_90_all_in,90
28898,4.704351425170898,0.0,0.001024322584271431,0.004818773409152044,-4.704351425170898,Bankruptcy_90_all_in,90
3355,2.3686604499816895,2.302248954772949,0.001024322584271431,0.004784517992376003,-0.06641149520874023,Bankruptcy_90_all_in,90
31552,4.658355712890625,0.0,0.001024322584271431,0.004771658962283709,-4.658355712890625,Bankruptcy_90_all_in,90
32053,4.644908428192139,0.0,0.001024322584271431,0.004757884604869922,-4.644908428192139,Bankruptcy_90_all_in,90
3179,15.818931579589844,11.34990406036377,0.0015603341162204742,0.042392461147006344,-4.469027519226074,Desperate_10,10
12342,6.347302436828613,0.0,0.0015603341162204742,0.009903912538153037,-6.347302436828613,Desperate_10,10
7026,2.9353580474853516,3.006969451904297,0.0015603341162204742,0.009272016327052768,0.07161140441894531,Desperate_10,10
9478,2.300114631652832,2.971712589263916,0.0015603341162204742,0.008225811867616173,0.671597957611084,Desperate_10,10
24124,0.0,5.087118148803711,0.0015603341162204742,0.007937604000822773,5.087118148803711,Desperate_10,10
18596,0.0,5.021698951721191,0.0015603341162204742,0.007835528195759167,5.021698951721191,Desperate_10,10
28898,4.715236663818359,0.0,0.0015603341162204742,0.007357344632609397,-4.715236663818359,Desperate_10,10
32053,4.546762943267822,0.0,0.0015603341162204742,0.0070944693387478,-4.546762943267822,Desperate_10,10
23601,4.49099063873291,0.0,0.0015603341162204742,0.0070074459092417385,-4.49099063873291,Desperate_10,10
20604,4.479337692260742,0.0,0.0015603341162204742,0.006989263419306724,-4.479337692260742,Desperate_10,10
3179,13.16451644897461,11.471569061279297,0.0006074309349060059,0.014964720453917835,-1.6929473876953125,Safe_130_one_win,130
9478,3.8553197383880615,4.019122123718262,0.0006074309349060059,0.004783179582162234,0.1638023853302002,Safe_130_one_win,130
7026,4.161522388458252,2.468681573867798,0.0006074309349060059,0.004027390991453217,-1.692840814590454,Safe_130_one_win,130
31552,6.310313701629639,0.0,0.0006074309349060059,0.00383307975133107,-6.310313701629639,Safe_130_one_win,130
12342,6.012626647949219,0.0,0.0006074309349060059,0.003652255426004558,-6.012626647949219,Safe_130_one_win,130
28898,4.862124443054199,0.0,0.0006074309349060059,0.0029534047960737553,-4.862124443054199,Safe_130_one_win,130
18596,0.0,4.791780471801758,0.0006074309349060059,0.0029106756918508836,4.791780471801758,Safe_130_one_win,130
20604,4.546716690063477,0.0,0.0006074309349060059,0.002761816369797998,-4.546716690063477,Safe_130_one_win,130
32053,4.544071197509766,0.0,0.0006074309349060059,0.0027602094157828105,-4.544071197509766,Safe_130_one_win,130
24124,0.0,4.505178451538086,0.0006074309349060059,0.0027365847587361714,4.505178451538086,Safe_130_one_win,130
3179,14.124944686889648,12.040898323059082,0.0008059293031692505,0.021087819623843984,-2.0840463638305664,Risky_40,40
7026,4.501420974731445,3.197476625442505,0.0008059293031692505,0.0062047671780796065,-1.3039443492889404,Risky_40,40
12342,6.288816452026367,0.0,0.0008059293031692505,0.005068341460940928,-6.288816452026367,Risky_40,40
9478,2.824561834335327,3.2722458839416504,0.0008059293031692505,0.0049135959959478726,0.44768404960632324,Risky_40,40
24124,0.0,5.198288440704346,0.0008059293031692505,0.004189452980689623,5.198288440704346,Risky_40,40
18596,0.0,5.109436511993408,0.0008059293031692505,0.004117844607698373,5.109436511993408,Risky_40,40
31552,4.997309684753418,0.0,0.0008059293031692505,0.004027478311954269,-4.997309684753418,Risky_40,40
32053,4.953633785247803,0.0,0.0008059293031692505,0.003992278624700418,-4.953633785247803,Risky_40,40
20604,4.913172721862793,0.0,0.0008059293031692505,0.0039596698680810505,-4.913172721862793,Risky_40,40
28898,4.8808488845825195,0.0,0.0008059293031692505,0.0039336191404260035,-4.8808488845825195,Risky_40,40
3179,13.493207931518555,12.211738586425781,0.0009413864463567734,0.024198288256318534,-1.2814693450927734,Safe_140_near_goal,140
7026,4.2338056564331055,2.900432586669922,0.0009413864463567734,0.006716075187137349,-1.3333730697631836,Safe_140_near_goal,140
9478,3.294515609741211,3.6307172775268555,0.0009413864463567734,0.006519320377938342,0.33620166778564453,Safe_140_near_goal,140
12342,6.29936408996582,0.0,0.0009413864463567734,0.005930135974960393,-6.29936408996582,Safe_140_near_goal,140
31552,5.256086349487305,0.0,0.0009413864463567734,0.004948008450288199,-5.256086349487305,Safe_140_near_goal,140
18596,0.0,5.080874443054199,0.0009413864463567734,0.004783066336331743,5.080874443054199,Safe_140_near_goal,140
24124,0.0,4.913835525512695,0.0009413864463567734,0.004625818163344064,4.913835525512695,Safe_140_near_goal,140
2886,4.8899664878845215,0.0,0.0009413864463567734,0.004603348174833322,-4.8899664878845215,Safe_140_near_goal,140
20604,4.771886825561523,0.0,0.0009413864463567734,0.004492189581132067,-4.771886825561523,Safe_140_near_goal,140
