scenario,balance,balance_to_decision,goal_to_decision,prob_to_decision,total_attention,category
Desperate_10,10,0.0015196241438388824,0.0024216026067733765,0.0024355389177799225,0.006376765668392181,risky
Very_risky_25,25,0.0008735395967960358,0.002276599407196045,0.0018763169646263123,0.005026455968618393,risky
Risky_40,40,0.0006065238267183304,0.0018708780407905579,0.002002561464905739,0.004479963332414627,risky
Bankruptcy_90_all_in,90,0.0035394690930843353,0.00200749933719635,0.002101607620716095,0.00764857605099678,risky
Safe_130_one_win,130,0.004280790686607361,0.0020480025559663773,0.004280790686607361,0.010609583929181099,safe
Safe_140_near_goal,140,0.0015809237957000732,0.0019624773412942886,0.0026631727814674377,0.0062065739184618,safe
Goal_achieved_200,200,0.0011719055473804474,0.0011719055473804474,0.002629529684782028,0.004973340779542923,safe
