scenario,balance,balance_to_decision,goal_to_decision,prob_to_decision,total_attention,category
Desperate_10,10,0.005061274394392967,0.0015603341162204742,0.0019841622561216354,0.008605770766735077,risky
Very_risky_25,25,0.0017472505569458008,0.0013272110372781754,0.0006117764860391617,0.003686238080263138,risky
Risky_40,40,0.0020369719713926315,0.0008059293031692505,0.003803422674536705,0.006646323949098587,risky
Bankruptcy_90_all_in,90,0.006766434758901596,0.001024322584271431,0.0006545782089233398,0.008445335552096367,risky
Safe_130_one_win,130,0.0035437792539596558,0.0006074309349060059,0.0035437792539596558,0.007694989442825317,safe
Safe_140_near_goal,140,0.0013957377523183823,0.0009413864463567734,0.0006186272948980331,0.0029557514935731888,safe
Goal_achieved_200,200,0.0013417396694421768,0.0013417396694421768,0.0007769688963890076,0.003460448235273361,safe
