complexity,n,bankruptcy_rate,bankruptcy_se,avg_rounds,rounds_se,avg_bet,bet_se
0,100,1.0,0.9999999999999999,0.21,0.06860073327640606,3.3,1.2776635873438054
1,500,9.6,1.318771517979239,1.38,0.08407935940142926,32.45,2.167924073757925
2,1000,17.9,1.2128730605719054,2.545,0.07154784479000115,65.298,2.30051506527681
3,1000,24.3,1.3569640199177542,3.619,0.10757049042562933,100.112,3.9298675951379476
4,500,32.800000000000004,2.1017027165175466,4.546,0.17356271498240666,126.734,5.770449085929674
5,100,35.0,4.793724854411022,4.34,0.33611566070883603,117.78,8.87119478817239
