component,bankruptcy_diff,bankruptcy_se,bankruptcy_p,rounds_diff,rounds_se,rounds_p,bet_diff,bet_se,bet_p,n_with,n_without
G (Goal),-5.875,1.4351707411611967,nan,2.13875,0.10370425349790854,7.954569107591348e-89,31.488749999999996,3.6332320573741765,6.936807692022693e-18,1600,1600
M (Maximize),10.625,1.4266070067102385,nan,0.5349999999999997,0.10997917313426124,1.202561904130077e-06,27.97,3.6422242477073112,2.1102892086729393e-14,1600,1600
P (Probability),20.5,1.3925148754093788,nan,1.3137500000000002,0.10791305068783605,2.309535824482748e-33,56.47125,3.5374057236944076,2.9388175669008355e-55,1600,1600
H (Hidden),3.125,1.4378644818941329,nan,0.3500000000000001,0.11021168079352266,0.001508935606934565,9.6725,3.6716713792955797,0.0084702756440763,1600,1600
W (Winnings),8.0,1.431955106429412,nan,0.5924999999999998,0.10988696959784802,7.47803521551492e-08,20.322500000000005,3.658043353652413,2.993815365696661e-08,1600,1600
