layer,feature_id,cohen_d,p_value,bankrupt_mean,safe_mean,bankrupt_std,safe_std
25,17793,-0.9468681030733007,0.0,0.0002727677929215133,0.1515904664993286,0.0029080109670758247,0.16248369216918945
26,31257,-1.065050914124607,0.0,0.008372706361114979,0.2729511260986328,0.029818220064044,0.2525182366371155
27,32051,-1.0861841276272308,0.0,0.005972566083073616,0.32936394214630127,0.02812650427222252,0.30267247557640076
28,21135,-1.0984768932889526,0.0,0.010934320278465748,0.27632781863212585,0.04261241853237152,0.24552083015441895
29,29399,-0.9980046578038707,0.0,0.002575505990535021,0.20416554808616638,0.013858875259757042,0.20535944402217865
30,17910,-1.096922465228928,0.0,0.003368258010596037,0.11135733872652054,0.014369782991707325,0.1000606119632721
31,29127,-1.1159451981028425,0.0,0.015342118218541145,0.2659783363342285,0.035113196820020676,0.22826415300369263
