layer,feature_id,cohen_d,p_value,bankrupt_mean,safe_mean,bankrupt_std,safe_std,effect_direction,significance
25,13464,1.4736163264066093,6.799884790848817e-66,0.6394948363304138,0.2704685628414154,0.21383342146873474,0.251535564661026,Risk-promoting,***
26,9215,1.434311941655746,5.346578879492309e-33,0.377586305141449,0.08312702178955078,0.29679498076438904,0.20141203701496124,Risk-promoting,***
27,2742,1.4751054358030156,1.2737032792631687e-36,0.44046202301979065,0.10039261728525162,0.31758832931518555,0.22694575786590576,Risk-promoting,***
28,25651,1.4815277542117657,1.6062889560492425e-22,0.07818624377250671,0.013348032720386982,0.08524101972579956,0.041620735079050064,Risk-promoting,***
29,3494,1.4317496831597665,2.405162323701926e-35,0.11118431389331818,0.027710355818271637,0.08002015948295593,0.0574074387550354,Risk-promoting,***
30,16827,1.6691269986274417,1.4513219507019902e-22,0.1353009194135666,0.020187456160783768,0.15121397376060486,0.06432272493839264,Risk-promoting,***
31,3781,1.457469610238321,7.854776349785454e-37,0.3866984248161316,0.1121910810470581,0.2552630603313446,0.1856081336736679,Risk-promoting,***
